ASV,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12
ASV1,25,18,5,13,9,7,15,39,24,42,48,60
ASV2,10,9,8,9,14,5,45,48,9,54,33,66
ASV3,14,20,11,14,16,15,30,9,102,51,48,6
ASV4,4,24,19,13,13,11,66,12,6,42,78,48
ASV5,12,12,14,7,11,11,48,21,33,54,18,18
ASV6,18,8,9,13,9,24,39,45,33,15,66,39
ASV7,21,17,26,9,8,15,39,36,66,57,57,30
ASV8,15,7,9,5,20,2,39,30,42,57,27,24
ASV9,15,20,7,23,20,18,18,81,48,51,45,18
ASV10,4,3,15,9,11,8,36,33,42,21,48,66
ASV11,27,45,42,12,6,21,5,24,10,15,11,20
ASV12,66,33,21,15,36,30,8,14,3,11,8,22
ASV13,51,57,39,42,30,36,8,29,19,31,9,12
ASV14,51,24,90,27,12,45,11,4,12,3,27,13
ASV15,54,51,69,24,30,36,12,12,7,4,10,10
ASV16,48,51,36,36,30,27,5,5,5,6,17,13
ASV17,21,105,24,15,54,30,4,17,14,2,4,9
ASV18,39,54,51,57,45,21,8,11,1,8,2,9
ASV19,42,21,33,51,72,30,23,5,19,4,0,8
ASV20,45,39,39,27,36,48,26,2,16,13,8,15
ASV21,22,9,25,11,8,12,7,21,13,16,4,20
ASV22,8,12,2,10,9,7,21,10,20,24,17,3
ASV23,15,8,10,13,9,15,17,4,10,18,17,15
ASV24,15,18,22,9,12,10,8,13,6,13,17,10
ASV25,7,11,7,4,3,5,13,6,6,14,10,5
ASV26,12,17,15,15,15,15,22,20,15,12,2,9
ASV27,15,20,5,16,12,9,17,22,15,8,12,10
ASV28,15,19,21,18,10,12,14,14,20,6,13,9
ASV29,19,11,14,14,5,3,10,4,26,2,12,10
ASV30,26,14,14,17,8,14,10,10,11,27,17,10
ASV31,9,10,13,14,6,12,13,20,11,10,3,9
ASV32,13,12,5,7,8,7,36,9,6,8,5,9
ASV33,14,11,11,18,4,14,11,12,11,13,27,16
ASV34,10,2,5,7,8,12,3,3,10,11,13,12
ASV35,9,6,16,6,4,10,6,16,8,16,5,10
ASV36,7,11,16,9,7,11,10,9,10,9,11,16
ASV37,9,2,17,13,9,6,28,19,15,15,14,10
ASV38,20,15,12,17,5,15,5,5,3,3,5,3
ASV39,9,5,8,13,4,16,11,22,12,5,14,11
ASV40,16,11,16,13,13,18,8,3,14,5,9,11
ASV41,25,25,7,10,14,21,4,20,5,8,3,24
ASV42,20,1,3,11,4,16,18,9,21,6,1,9
ASV43,12,13,22,8,19,18,13,9,12,15,23,14
ASV44,14,0,12,7,8,12,26,7,2,12,13,19
ASV45,11,24,6,15,9,15,1,1,5,10,10,9
ASV46,9,11,10,9,17,3,22,10,7,16,17,9
ASV47,8,4,5,15,22,13,11,17,7,7,12,5
ASV48,3,7,7,7,17,13,18,12,19,16,10,20
ASV49,9,10,7,15,10,20,17,5,15,13,5,18
ASV50,2,25,18,15,6,15,19,9,7,15,9,11
ASV51,6,8,9,3,7,14,11,4,12,13,7,8
ASV52,5,19,9,8,10,12,15,12,16,12,14,4
ASV53,16,13,19,12,8,11,15,18,10,6,11,12
ASV54,11,16,14,26,5,4,12,9,11,14,15,9
ASV55,10,13,9,2,8,14,10,25,15,25,26,9
ASV56,13,11,9,22,5,7,11,2,16,11,4,17
ASV57,15,16,12,20,22,19,17,20,29,4,1,18
ASV58,7,8,1,15,18,2,27,18,18,6,6,5
ASV59,6,9,14,18,14,3,3,7,5,30,7,8
ASV60,15,19,17,15,21,7,5,9,13,5,15,11
