ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,Bacteria,Firmicutes,c0,o0,f0,Bacteroides,sp0
ASV2,Bacteria,Bacteroidetes,c1,o1,f1,Faecalibacterium,sp1
ASV3,Bacteria,Proteobacteria,c2,o2,f2,Escherichia,sp2
ASV4,Bacteria,Actinobacteria,c3,o3,f3,Bifidobacterium,sp3
ASV5,Bacteria,Firmicutes,c4,o4,f4,Prevotella,sp4
ASV6,Bacteria,Bacteroidetes,c0,o5,f5,Roseburia,sp5
ASV7,Bacteria,Proteobacteria,c1,o0,f6,Bacteroides,sp6
ASV8,Bacteria,Actinobacteria,c2,o1,f0,Faecalibacterium,sp7
ASV9,Bacteria,Firmicutes,c3,o2,f1,Escherichia,sp8
ASV10,Bacteria,Bacteroidetes,c4,o3,f2,Bifidobacterium,sp9
ASV11,Bacteria,Proteobacteria,c0,o4,f3,Prevotella,sp10
ASV12,Bacteria,Actinobacteria,c1,o5,f4,Roseburia,sp11
ASV13,Bacteria,Firmicutes,c2,o0,f5,Bacteroides,sp12
ASV14,Bacteria,Bacteroidetes,c3,o1,f6,Faecalibacterium,sp13
ASV15,Bacteria,Proteobacteria,c4,o2,f0,Escherichia,sp14
ASV16,Bacteria,Actinobacteria,c0,o3,f1,Bifidobacterium,sp15
ASV17,Bacteria,Firmicutes,c1,o4,f2,Prevotella,sp16
ASV18,Bacteria,Bacteroidetes,c2,o5,f3,Roseburia,sp17
ASV19,Bacteria,Proteobacteria,c3,o0,f4,Bacteroides,sp18
ASV20,Bacteria,Actinobacteria,c4,o1,f5,Faecalibacterium,sp19
ASV21,Bacteria,Firmicutes,c0,o2,f6,Escherichia,sp20
ASV22,Bacteria,Bacteroidetes,c1,o3,f0,Bifidobacterium,sp21
ASV23,Bacteria,Proteobacteria,c2,o4,f1,Prevotella,sp22
ASV24,Bacteria,Actinobacteria,c3,o5,f2,Roseburia,sp23
ASV25,Bacteria,Firmicutes,c4,o0,f3,Bacteroides,sp24
ASV26,Bacteria,Bacteroidetes,c0,o1,f4,Faecalibacterium,sp25
ASV27,Bacteria,Proteobacteria,c1,o2,f5,Escherichia,sp26
ASV28,Bacteria,Actinobacteria,c2,o3,f6,Bifidobacterium,sp27
ASV29,Bacteria,Firmicutes,c3,o4,f0,Prevotella,sp28
ASV30,Bacteria,Bacteroidetes,c4,o5,f1,Roseburia,sp29
ASV31,Bacteria,Proteobacteria,c0,o0,f2,Bacteroides,sp30
ASV32,Bacteria,Actinobacteria,c1,o1,f3,Faecalibacterium,sp31
ASV33,Bacteria,Firmicutes,c2,o2,f4,Escherichia,sp32
ASV34,Bacteria,Bacteroidetes,c3,o3,f5,Bifidobacterium,sp33
ASV35,Bacteria,Proteobacteria,c4,o4,f6,Prevotella,sp34
ASV36,Bacteria,Actinobacteria,c0,o5,f0,Roseburia,sp35
ASV37,Bacteria,Firmicutes,c1,o0,f1,Bacteroides,sp36
ASV38,Bacteria,Bacteroidetes,c2,o1,f2,Faecalibacterium,sp37
ASV39,Bacteria,Proteobacteria,c3,o2,f3,Escherichia,sp38
ASV40,Bacteria,Actinobacteria,c4,o3,f4,Bifidobacterium,sp39
ASV41,Bacteria,Firmicutes,c0,o4,f5,Prevotella,sp40
ASV42,Bacteria,Bacteroidetes,c1,o5,f6,Roseburia,sp41
ASV43,Bacteria,Proteobacteria,c2,o0,f0,Bacteroides,sp42
ASV44,Bacteria,Actinobacteria,c3,o1,f1,Faecalibacterium,sp43
ASV45,Bacteria,Firmicutes,c4,o2,f2,Escherichia,sp44
ASV46,Bacteria,Bacteroidetes,c0,o3,f3,Bifidobacterium,sp45
ASV47,Bacteria,Proteobacteria,c1,o4,f4,Prevotella,sp46
ASV48,Bacteria,Actinobacteria,c2,o5,f5,Roseburia,sp47
ASV49,Bacteria,Firmicutes,c3,o0,f6,Bacteroides,sp48
ASV50,Bacteria,Bacteroidetes,c4,o1,f0,Faecalibacterium,sp49
ASV51,Bacteria,Proteobacteria,c0,o2,f1,Escherichia,sp50
ASV52,Bacteria,Actinobacteria,c1,o3,f2,Bifidobacterium,sp51
ASV53,Bacteria,Firmicutes,c2,o4,f3,Prevotella,sp52
ASV54,Bacteria,Bacteroidetes,c3,o5,f4,Roseburia,sp53
ASV55,Bacteria,Proteobacteria,c4,o0,f5,Bacteroides,sp54
ASV56,Bacteria,Actinobacteria,c0,o1,f6,Faecalibacterium,sp55
ASV57,Bacteria,Firmicutes,c1,o2,f0,Escherichia,sp56
ASV58,Bacteria,Bacteroidetes,c2,o3,f1,Bifidobacterium,sp57
ASV59,Bacteria,Proteobacteria,c3,o4,f2,Prevotella,sp58
ASV60,Bacteria,Actinobacteria,c4,o5,f3,Roseburia,sp59
