gene,S1,S2,S3,S4,S5,S6
Gene1,109,99,98,453,397,432
Gene2,58,50,59,226,232,187
Gene3,103,83,85,340,361,369
Gene4,105,97,96,400,429,430
Gene5,13,18,22,94,68,66
Gene6,116,113,106,435,505,492
Gene7,71,88,75,301,337,312
Gene8,168,171,162,728,726,756
Gene9,80,53,71,264,276,246
Gene10,14,4,12,52,42,31
Gene11,72,48,62,253,223,270
Gene12,30,38,35,161,131,134
Gene13,77,63,77,270,241,277
Gene14,21,26,25,107,102,106
Gene15,91,114,78,357,365,371
Gene16,233,213,220,872,884,841
Gene17,109,127,101,438,457,432
Gene18,126,145,121,556,559,579
Gene19,81,77,67,280,292,263
Gene20,8,15,17,44,54,51
Gene21,122,111,112,469,470,444
Gene22,27,29,42,151,146,140
Gene23,72,69,59,269,242,263
Gene24,195,197,211,781,746,783
Gene25,111,119,118,494,533,498
Gene26,131,122,139,527,557,526
Gene27,40,47,39,180,155,164
Gene28,80,58,77,371,336,333
Gene29,58,47,66,250,233,248
Gene30,58,52,62,222,229,215
Gene31,107,111,127,29,28,20
Gene32,17,19,20,4,7,5
Gene33,225,216,192,64,48,49
Gene34,85,99,93,23,17,24
Gene35,236,262,225,64,69,58
Gene36,64,58,63,7,14,7
Gene37,169,189,170,46,39,47
Gene38,131,107,127,29,30,29
Gene39,90,82,89,13,28,23
Gene40,57,47,55,16,23,12
Gene41,59,73,53,15,24,8
Gene42,40,39,36,3,16,11
Gene43,91,71,79,17,16,17
Gene44,146,147,140,41,30,32
Gene45,178,145,150,34,46,33
Gene46,116,88,95,24,22,30
Gene47,47,47,50,7,11,6
Gene48,63,57,68,14,17,14
Gene49,79,58,53,9,10,13
Gene50,75,93,82,25,16,20
Gene51,91,83,89,22,17,22
Gene52,18,19,19,3,4,5
Gene53,40,46,37,10,8,11
Gene54,105,112,125,24,29,31
Gene55,24,27,31,8,5,9
Gene56,61,60,57,7,15,11
Gene57,55,61,77,13,15,14
Gene58,47,34,34,9,10,6
Gene59,91,81,85,30,23,20
Gene60,15,14,17,3,4,5
Gene61,169,155,168,170,188,185
Gene62,219,248,246,245,249,277
Gene63,19,14,21,16,19,11
Gene64,126,150,132,165,131,122
Gene65,41,36,33,39,40,40
Gene66,89,112,124,107,99,106
Gene67,262,299,289,243,234,272
Gene68,120,115,112,98,121,124
Gene69,160,197,144,177,166,184
Gene70,30,35,31,38,37,20
Gene71,46,35,56,34,45,44
