gene,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99,Cell100,Cell101,Cell102,Cell103,Cell104,Cell105,Cell106,Cell107,Cell108,Cell109,Cell110,Cell111,Cell112,Cell113,Cell114,Cell115,Cell116,Cell117,Cell118,Cell119,Cell120,Cell121,Cell122,Cell123,Cell124,Cell125,Cell126,Cell127,Cell128,Cell129,Cell130,Cell131,Cell132,Cell133,Cell134,Cell135,Cell136,Cell137,Cell138,Cell139,Cell140,Cell141,Cell142,Cell143,Cell144,Cell145,Cell146,Cell147,Cell148,Cell149,Cell150,Cell151,Cell152,Cell153,Cell154,Cell155,Cell156,Cell157,Cell158,Cell159,Cell160,Cell161,Cell162,Cell163,Cell164,Cell165,Cell166,Cell167,Cell168,Cell169,Cell170,Cell171,Cell172,Cell173,Cell174,Cell175,Cell176,Cell177,Cell178,Cell179,Cell180,Cell181,Cell182,Cell183,Cell184,Cell185,Cell186,Cell187,Cell188,Cell189,Cell190,Cell191,Cell192,Cell193,Cell194,Cell195,Cell196,Cell197,Cell198,Cell199,Cell200,Cell201,Cell202,Cell203,Cell204,Cell205,Cell206,Cell207,Cell208,Cell209,Cell210,Cell211,Cell212,Cell213,Cell214,Cell215,Cell216,Cell217,Cell218,Cell219,Cell220,Cell221,Cell222,Cell223,Cell224,Cell225,Cell226,Cell227,Cell228,Cell229,Cell230,Cell231,Cell232,Cell233,Cell234,Cell235,Cell236,Cell237,Cell238,Cell239,Cell240,Cell241,Cell242,Cell243,Cell244,Cell245,Cell246,Cell247,Cell248,Cell249,Cell250,Cell251,Cell252,Cell253,Cell254,Cell255,Cell256,Cell257,Cell258,Cell259,Cell260,Cell261,Cell262,Cell263,Cell264,Cell265,Cell266,Cell267,Cell268,Cell269,Cell270,Cell271,Cell272,Cell273,Cell274,Cell275,Cell276,Cell277,Cell278,Cell279,Cell280,Cell281,Cell282,Cell283,Cell284,Cell285,Cell286,Cell287,Cell288,Cell289,Cell290,Cell291,Cell292,Cell293,Cell294,Cell295,Cell296,Cell297,Cell298,Cell299,Cell300
Gene1,13,12,12,13,15,13,13,13,15,14,17,18,5,17,16,23,15,17,15,17,21,19,12,16,16,11,18,14,20,15,9,15,14,18,20,18,15,18,14,15,13,17,19,26,10,21,13,13,12,24,17,16,13,20,16,18,13,20,15,19,28,16,17,13,20,13,18,18,22,15,14,12,20,22,20,22,15,13,26,17,20,15,15,15,15,14,16,12,22,15,12,14,16,15,15,22,20,15,13,6,0,0,1,1,2,2,1,0,1,0,2,2,1,0,1,4,0,1,1,0,1,1,2,2,3,3,3,0,0,1,2,0,0,1,0,1,0,2,2,1,1,1,1,2,2,0,1,1,1,1,1,1,0,1,0,1,1,2,3,2,0,3,0,2,0,1,1,1,2,1,1,1,0,2,1,1,1,1,1,3,0,1,3,0,1,0,0,2,1,1,2,1,1,1,1,1,2,2,0,3,1,1,1,1,2,1,1,1,3,2,3,0,2,1,2,1,1,1,0,1,3,1,1,1,1,1,2,0,0,2,3,0,1,3,4,0,0,2,0,2,1,1,1,0,2,2,3,1,1,1,1,1,2,1,1,1,2,0,1,1,1,1,1,0,2,1,2,1,1,1,1,0,0,2,1,0,2,0,0,1,1,1,1,2,0,2,1,2,2,0,0,0,0,3,0,0,0,1,0,1
Gene2,21,16,15,14,18,8,14,16,21,17,14,19,15,13,12,16,17,12,19,7,19,13,7,12,18,14,16,16,14,19,21,15,16,18,20,7,14,15,16,16,18,9,16,22,18,16,23,14,17,22,22,15,21,18,17,14,19,10,11,8,20,19,14,13,18,15,12,21,15,17,19,12,14,12,20,19,15,18,12,17,17,20,15,15,11,9,15,10,8,16,15,17,16,17,24,20,19,21,11,23,1,0,0,0,0,0,0,3,1,2,1,1,1,1,2,0,2,2,1,0,0,0,1,1,0,0,0,1,1,2,2,0,2,0,0,1,3,0,0,1,3,0,0,0,0,2,1,0,0,0,2,0,2,0,0,0,1,1,1,2,0,1,2,0,1,0,1,0,0,1,0,0,0,2,2,1,1,2,3,2,0,0,2,0,0,3,2,1,1,1,1,1,0,0,1,0,1,1,0,1,0,2,0,1,1,2,1,1,0,2,3,2,0,1,2,0,2,0,0,1,2,0,0,1,2,0,0,1,0,4,2,1,1,0,2,1,0,1,0,1,2,0,0,2,0,1,2,0,3,0,1,3,2,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,3,0,1,2,0,0,0,4,1,0,3,2,0,1,0,1,0,0,2,1,1,1,1,0,0,1,1,1,2,0
Gene3,17,19,11,15,16,15,14,19,22,18,11,15,21,11,14,19,11,9,23,19,14,16,13,12,16,14,11,19,14,16,17,14,14,11,25,13,12,20,10,20,13,15,10,14,12,18,19,14,24,17,15,21,17,22,18,25,16,21,18,11,26,15,22,11,22,22,10,14,23,23,17,16,21,13,17,14,22,14,16,16,12,21,19,17,10,17,15,9,16,20,16,22,9,15,15,17,17,17,22,17,1,1,1,0,0,2,0,0,0,2,0,2,1,2,1,0,0,0,0,2,0,1,2,2,1,3,2,2,4,0,1,2,0,1,4,0,1,3,0,0,1,1,0,1,3,1,0,1,0,0,1,2,1,0,1,0,1,1,0,0,2,2,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,2,1,0,1,2,0,2,0,4,3,2,2,2,1,0,1,1,2,0,0,2,0,1,4,0,0,1,1,1,1,0,0,0,0,0,0,1,1,2,0,1,2,0,0,0,1,0,3,1,0,3,1,1,1,0,1,1,1,1,1,0,1,0,0,4,1,2,2,0,1,1,1,0,2,2,0,0,1,1,1,2,2,1,2,1,1,1,1,1,0,2,0,1,2,1,1,3,3,1,2,0,3,2,2,1,1,1,0,0,0,1,2,1,2,0,2,0,2,1,0,0,0
Gene4,12,20,16,18,15,11,11,16,14,15,25,15,15,30,9,11,17,16,15,19,18,18,13,13,13,14,12,16,14,16,15,16,20,22,13,12,17,17,15,15,18,17,14,18,14,16,15,20,7,15,16,17,17,19,14,16,17,11,15,15,10,10,14,20,11,17,23,17,15,13,11,13,16,15,17,17,20,16,12,23,18,18,18,17,16,17,20,17,13,28,19,16,10,19,16,15,22,18,18,19,3,1,0,1,0,0,4,0,1,0,0,1,0,0,2,0,1,0,1,1,0,1,1,1,4,0,0,2,0,1,1,3,1,2,0,0,0,1,1,2,2,0,0,0,0,2,2,1,0,0,2,1,0,2,0,2,2,1,0,0,1,0,1,0,3,1,0,1,0,0,0,1,0,0,2,1,0,0,4,1,1,0,1,2,2,0,1,2,0,1,0,2,1,2,0,1,2,1,0,1,0,0,1,0,0,1,0,1,3,0,2,1,1,0,0,1,0,2,2,0,0,2,0,0,1,1,0,1,0,1,0,3,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,2,1,1,3,1,2,0,1,2,2,0,1,2,1,1,0,1,0,0,2,0,0,1,1,0,3,0,1,4,3,0,2,1,3,1,0,1,1,0,4,2,0,1,0,0,0,0,3,0
Gene5,16,17,21,19,11,15,23,13,18,16,14,13,17,6,11,16,14,19,15,18,10,10,18,21,11,21,13,18,24,15,15,19,18,11,11,9,9,15,17,23,18,21,17,17,12,12,17,11,11,12,12,17,11,12,20,18,13,18,21,27,17,14,19,13,14,23,11,14,14,15,14,17,24,14,16,17,18,16,14,19,14,23,16,17,15,12,15,12,24,16,19,19,19,8,20,12,20,14,13,14,2,1,1,0,2,0,0,3,0,0,1,0,1,2,0,2,0,1,1,0,2,1,2,0,0,0,0,1,1,1,3,1,0,1,3,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,2,2,1,0,3,2,1,1,1,1,1,1,2,1,1,4,0,2,0,1,0,2,0,2,2,0,3,0,1,4,1,1,1,2,0,1,1,3,0,2,1,0,5,0,1,2,2,1,2,1,1,0,1,3,0,0,0,0,1,0,1,1,0,1,1,1,1,1,2,0,0,0,0,3,1,2,2,0,4,1,3,1,2,3,0,0,3,1,0,1,0,0,1,1,2,1,0,2,1,1,1,0,0,0,1,2,2,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,2,1,1,2,1,2,2,1,1,2,2,1,1,1,1,2,1,2,1,0,1,0,1,0,2
Gene6,15,13,13,21,14,9,15,16,13,10,13,27,23,18,17,18,20,21,10,12,12,17,16,20,18,20,12,24,16,13,16,9,18,16,13,21,9,24,17,10,18,21,15,19,9,16,11,11,14,8,9,11,16,16,9,24,18,17,19,22,14,15,13,18,8,20,18,11,25,21,13,19,14,17,15,18,14,16,20,17,17,19,10,12,18,22,24,17,13,15,18,20,14,14,22,18,14,22,18,21,0,0,0,1,4,1,1,1,2,1,3,2,3,1,6,0,1,1,0,1,1,0,0,0,0,0,2,1,2,1,3,1,1,0,0,3,2,1,0,1,1,2,0,1,1,1,0,5,2,0,2,2,0,1,0,0,3,0,0,1,1,2,1,2,2,1,1,3,1,2,0,0,1,1,0,0,0,1,2,0,1,1,2,0,1,2,0,0,2,2,0,0,2,0,0,1,0,2,1,0,0,0,0,3,2,1,1,3,0,2,2,1,1,0,1,0,1,2,1,1,1,0,1,1,1,1,1,0,1,1,0,1,3,0,0,1,1,1,2,1,0,0,2,0,0,1,0,1,1,0,0,1,0,1,0,1,3,3,2,0,0,2,2,1,1,1,2,1,0,0,0,0,0,1,0,0,1,1,2,0,0,0,2,1,0,0,2,2,0,1,3,4,1,0,2,0,1,3,1,1
Gene7,22,13,26,13,17,21,14,17,13,20,17,26,17,20,13,14,17,10,14,14,9,16,11,15,14,15,21,15,15,17,13,13,16,21,15,21,17,11,21,22,12,10,15,13,17,18,14,16,15,13,12,12,16,20,16,11,12,25,12,14,11,13,17,16,14,19,13,22,15,20,17,17,11,17,17,12,10,8,15,14,17,12,21,10,19,14,19,10,14,21,11,13,14,19,22,13,12,16,18,20,0,1,0,1,0,0,2,1,2,0,0,0,1,0,0,1,3,0,1,0,2,0,4,1,1,1,0,0,0,3,2,0,1,0,0,0,1,1,0,1,1,3,1,0,4,0,0,0,0,1,1,1,1,0,0,0,2,1,0,1,0,0,1,2,0,4,0,0,1,1,1,1,0,0,0,2,1,2,0,1,0,3,1,0,0,2,1,1,1,1,0,0,0,1,1,0,2,0,0,2,1,1,0,1,0,2,1,0,2,0,0,0,1,2,0,1,0,0,0,1,1,3,0,0,0,0,0,3,2,0,0,1,1,2,0,2,2,0,0,2,1,2,2,2,2,0,0,0,2,2,3,1,0,2,0,1,2,1,0,0,0,1,0,2,0,0,0,1,1,4,1,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,1,1,2,1,1,1,1,0,1,1,0
Gene8,19,9,17,18,24,22,17,14,21,20,5,20,25,14,7,14,21,13,14,24,17,18,16,19,10,18,17,9,23,23,14,15,23,9,21,16,16,16,17,23,14,19,19,14,10,21,19,13,16,9,19,18,18,16,14,20,15,14,14,16,15,11,14,16,20,14,12,15,15,9,13,18,14,18,15,16,14,18,18,20,19,18,19,17,27,13,25,16,12,18,17,20,23,12,21,15,19,12,18,25,2,2,1,1,2,0,3,0,2,2,0,1,0,0,1,0,1,1,2,1,1,1,0,0,1,3,1,0,1,0,0,1,0,0,0,1,2,1,0,3,0,0,1,3,4,1,2,0,1,0,0,1,1,2,0,3,0,1,2,1,0,1,3,1,1,2,0,0,0,1,2,2,1,0,2,0,1,0,1,1,1,0,0,0,2,0,1,0,3,2,1,0,1,2,2,1,2,3,1,2,1,0,2,0,0,1,1,1,0,0,0,0,1,1,2,1,1,1,0,2,2,2,0,1,1,0,0,0,0,5,0,1,1,0,1,2,2,0,1,1,2,0,1,1,1,1,1,1,1,2,0,0,1,2,2,0,1,2,1,1,3,3,0,1,2,1,4,0,1,1,1,0,1,0,0,1,0,0,0,2,2,0,3,0,1,0,0,1,1,3,0,0,0,0,2,2,0,0,1,0
Gene9,18,13,19,18,12,21,21,20,11,20,17,8,11,22,15,19,12,20,15,20,14,18,10,15,27,20,12,19,17,18,19,16,12,17,17,14,23,12,17,14,16,11,12,15,16,17,17,16,18,17,12,18,15,14,7,16,24,15,26,23,16,14,14,28,13,16,24,18,11,19,15,8,12,12,14,17,9,20,16,17,14,17,17,12,12,13,18,29,12,25,14,12,12,16,16,17,21,17,21,15,1,0,1,1,4,0,0,0,0,1,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1,2,2,2,1,1,2,0,1,1,1,2,0,0,1,1,0,0,1,1,1,0,1,3,1,0,0,2,0,2,0,1,0,0,0,0,0,0,1,2,2,2,1,1,3,2,1,2,4,1,2,2,0,0,2,1,2,2,1,1,0,3,4,1,0,1,0,0,0,2,3,0,1,1,0,0,0,1,0,0,2,1,1,0,1,4,1,3,0,1,0,1,2,3,1,2,0,0,0,1,1,2,1,1,1,2,1,0,3,2,1,2,2,3,0,1,0,0,0,1,0,0,3,1,1,0,0,2,1,1,1,2,1,0,1,1,1,0,2,0,4,1,4,2,0,0,3,0,1,2,1,2,0,0,1,2,1,2,1,2,0,0,0,2,0,0,1,1,0,0,2,1,1,2,1
Gene10,17,21,18,11,18,23,18,18,25,13,10,12,15,13,11,21,15,11,17,14,19,17,25,24,14,17,19,16,21,20,20,12,12,9,10,19,12,14,14,24,10,17,9,25,19,19,19,19,23,18,19,18,18,12,20,16,12,11,19,17,17,18,14,22,22,19,16,16,17,16,17,10,15,21,15,9,15,21,18,21,12,19,14,17,19,13,11,26,11,15,14,18,15,13,13,21,17,11,15,11,1,1,2,1,2,1,2,0,3,0,2,0,4,2,1,0,1,2,0,0,0,0,1,0,2,1,2,0,0,0,1,2,0,2,2,0,2,0,2,1,1,0,2,0,0,1,0,0,4,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,3,1,0,1,1,1,2,2,1,2,1,1,1,1,0,0,0,0,2,0,2,1,3,1,3,1,1,2,1,3,1,0,1,1,1,1,0,0,0,2,0,2,1,1,0,2,1,1,2,3,1,4,1,1,0,0,1,1,1,0,3,1,1,3,0,1,1,2,1,0,2,1,1,1,4,0,0,1,1,0,1,1,2,2,4,2,1,0,0,2,0,1,1,0,1,1,0,2,0,0,1,1,0,0,2,1,1,0,2,1,0,1,0,0,4,2,1,0,2,0,2,1,1,1,0,3,1,2,0,0,0,0,0
